# Simulation 1 (Up to date)
# 908 data points written for 7 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (29.3 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Position East of launch (m),Position North of launch (m)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
63.399,2032.5,-26.515,0.037539,26.534,833.92,0.93189
63.899,2019.2,-26.496,0.037409,26.516,832.89,0.93166
64.399,2006,-26.477,0.037088,26.496,831.87,0.93144
64.899,1992.7,-26.459,0.037265,26.478,830.86,0.93121
65.399,1979.5,-26.44,0.036986,26.459,829.86,0.93099
65.899,1966.3,-26.422,0.037262,26.441,828.87,0.93077
66.399,1953.1,-26.403,0.036814,26.422,827.89,0.93055
66.899,1939.9,-26.385,0.036683,26.403,826.92,0.93033
67.399,1926.7,-26.367,0.036941,26.386,825.97,0.93012
67.899,1913.5,-26.348,0.036619,26.367,825.03,0.92991
68.399,1900.3,-26.329,0.039184,26.356,824.07,0.9297
68.899,1887.2,-26.311,0.035202,26.329,823.08,0.92949
69.399,1874,-26.293,0.035437,26.311,822.09,0.92928
69.899,1860.9,-26.275,0.035799,26.294,821.09,0.92907
70.399,1847.8,-26.258,0.035764,26.276,820.09,0.92886
70.899,1834.6,-26.24,0.035601,26.258,819.1,0.92865
71.399,1821.5,-26.222,0.035819,26.241,818.1,0.92843
71.899,1808.4,-26.204,0.035879,26.223,817.12,0.92822
72.399,1795.3,-26.186,0.035236,26.204,816.13,0.92801
72.899,1782.2,-26.169,0.035109,26.186,815.15,0.9278
73.399,1769.1,-26.151,0.035721,26.17,814.18,0.92759
73.899,1756.1,-26.133,0.034791,26.151,813.22,0.92738
74.399,1743,-26.116,0.034853,26.134,812.26,0.92718
74.899,1730,-26.099,0.0348,26.116,811.28,0.92697
75.399,1716.9,-26.081,0.03514,26.1,810.3,0.92676
75.899,1703.9,-26.064,0.034697,26.082,809.29,0.92656
76.399,1690.8,-26.047,0.034314,26.064,808.28,0.92635
76.899,1677.8,-26.029,0.034278,26.047,807.27,0.92614
77.399,1664.8,-26.012,0.034421,26.03,806.26,0.92593
77.899,1651.8,-25.995,0.034067,26.012,805.27,0.92572
78.399,1638.8,-25.978,0.034121,25.995,804.26,0.92551
78.899,1625.8,-25.961,0.034605,25.98,803.24,0.9253
79.399,1612.9,-25.944,0.034092,25.962,802.22,0.92509
79.899,1599.9,-25.927,0.033635,25.944,801.22,0.92488
80.399,1586.9,-25.91,0.033327,25.927,800.22,0.92467
80.899,1574,-25.893,0.034221,25.911,799.22,0.92446
81.399,1561,-25.876,0.034729,25.894,798.22,0.92424
81.899,1548.1,-25.858,0.034849,25.876,797.22,0.92403
82.399,1535.2,-25.841,0.034958,25.858,796.22,0.92382
82.899,1522.3,-25.823,0.035048,25.841,795.22,0.92361
83.399,1509.4,-25.805,0.035956,25.826,794.2,0.9234
83.899,1496.5,-25.788,0.034788,25.806,793.15,0.92319
84.399,1483.6,-25.77,0.035683,25.791,792.08,0.92298
84.899,1470.7,-25.753,0.034224,25.77,790.99,0.92277
85.399,1457.8,-25.736,0.034708,25.754,789.93,0.92255
85.899,1445,-25.718,0.036321,25.741,788.9,0.92233
86.399,1432.1,-25.701,0.03348,25.718,787.9,0.92212
86.899,1419.3,-25.684,0.033726,25.701,786.91,0.9219
87.399,1406.4,-25.667,0.033716,25.684,785.91,0.92169
87.899,1393.6,-25.65,0.033834,25.667,784.9,0.92148
88.399,1380.8,-25.633,0.033885,25.65,783.9,0.92127
88.899,1368,-25.616,0.033827,25.633,782.9,0.92105
89.399,1355.2,-25.599,0.03365,25.616,781.92,0.92084
89.899,1342.4,-25.582,0.035366,25.604,780.91,0.92064
90.399,1329.6,-25.565,0.032908,25.582,779.87,0.92043
90.899,1316.8,-25.549,0.033504,25.567,778.82,0.92022
91.399,1304,-25.532,0.032883,25.549,777.75,0.92001
91.899,1291.3,-25.516,0.033179,25.533,776.69,0.91979
92.399,1278.5,-25.498,0.034211,25.519,775.67,0.91958
92.899,1265.8,-25.482,0.032695,25.499,774.67,0.91936
93.399,1253,-25.466,0.032458,25.482,773.69,0.91915
93.899,1240.3,-25.45,0.032656,25.466,772.73,0.91894
94.399,1227.6,-25.433,0.032671,25.45,771.76,0.91873
94.899,1214.9,-25.417,0.03325,25.436,770.77,0.91853
95.399,1202.2,-25.401,0.032061,25.417,769.77,0.91832
95.899,1189.5,-25.385,0.032069,25.401,768.77,0.91812
96.399,1176.8,-25.368,0.032212,25.385,767.76,0.91791
96.899,1164.1,-25.352,0.032381,25.369,766.73,0.91771
97.399,1151.4,-25.336,0.031819,25.352,765.7,0.9175
97.899,1138.8,-25.32,0.031877,25.336,764.66,0.91729
98.399,1126.1,-25.304,0.031837,25.321,763.61,0.91708
98.899,1113.5,-25.289,0.031721,25.305,762.56,0.91687
99.399,1100.8,-25.273,0.031636,25.289,761.52,0.91666
99.899,1088.2,-25.257,0.031586,25.273,760.47,0.91645
100.4,1075.6,-25.241,0.032475,25.258,759.44,0.91624
100.9,1062.9,-25.224,0.032573,25.241,758.42,0.91603
101.4,1050.3,-25.208,0.033234,25.226,757.37,0.91582
101.9,1037.7,-25.191,0.032691,25.208,756.31,0.9156
102.4,1025.1,-25.175,0.03306,25.192,755.26,0.91539
102.9,1012.6,-25.159,0.032637,25.175,754.21,0.91518
103.4,999.98,-25.142,0.033012,25.16,753.16,0.91497
103.9,987.41,-25.126,0.032849,25.143,752.09,0.91475
104.4,974.85,-25.109,0.032509,25.126,751.01,0.91454
104.9,962.3,-25.093,0.033435,25.112,749.96,0.91432
105.4,949.76,-25.077,0.032091,25.093,748.92,0.91411
105.9,937.23,-25.061,0.032004,25.077,747.87,0.9139
106.4,924.7,-25.045,0.032049,25.061,746.82,0.91368
106.9,912.18,-25.029,0.032091,25.045,745.78,0.91347
107.4,899.67,-25.012,0.032923,25.031,744.76,0.91326
107.9,887.17,-24.996,0.031697,25.013,743.75,0.91304
108.4,874.67,-24.981,0.031523,24.996,742.74,0.91283
108.9,862.19,-24.965,0.031613,24.981,741.72,0.91263
109.4,849.71,-24.949,0.031518,24.965,740.72,0.91242
109.9,837.24,-24.933,0.032266,24.951,739.73,0.91221
110.4,824.78,-24.917,0.031747,24.934,738.77,0.912
110.9,812.32,-24.901,0.030994,24.917,737.82,0.9118
111.4,799.88,-24.885,0.032169,24.905,736.84,0.9116
111.9,787.44,-24.87,0.030508,24.885,735.85,0.9114
112.4,775.01,-24.855,0.030766,24.87,734.85,0.9112
112.9,762.58,-24.839,0.030775,24.855,733.86,0.911
113.4,750.17,-24.824,0.030994,24.84,732.88,0.9108
113.9,737.76,-24.809,0.030556,24.824,731.91,0.9106
114.4,725.36,-24.793,0.03067,24.809,730.95,0.9104
114.9,712.97,-24.778,0.030453,24.793,730,0.9102
115.4,700.58,-24.762,0.031232,24.78,729.03,0.91001
115.9,688.2,-24.747,0.031006,24.765,728.03,0.90981
116.4,675.83,-24.732,0.0298,24.747,727.01,0.90962
116.9,663.47,-24.717,0.029945,24.732,725.98,0.90942
117.4,651.12,-24.702,0.029875,24.717,724.95,0.90922
117.9,638.77,-24.687,0.02988,24.702,723.92,0.90902
118.4,626.43,-24.672,0.029934,24.687,722.88,0.90882
118.9,614.1,-24.657,0.029817,24.672,721.85,0.90861
119.4,601.77,-24.642,0.029814,24.658,720.82,0.90841
119.9,589.45,-24.627,0.03083,24.645,719.79,0.90821
120.4,577.14,-24.612,0.029935,24.628,718.72,0.908
120.9,564.84,-24.597,0.030653,24.613,717.64,0.9078
121.4,552.55,-24.581,0.030493,24.597,716.53,0.90759
121.9,540.26,-24.566,0.030718,24.582,715.43,0.90738
122.4,527.98,-24.551,0.030718,24.566,714.34,0.90717
122.9,515.71,-24.535,0.030969,24.551,713.23,0.90695
123.4,503.45,-24.52,0.030709,24.535,712.12,0.90674
123.9,491.19,-24.505,0.030706,24.52,711.02,0.90652
124.4,478.94,-24.489,0.031075,24.506,709.9,0.90631
124.9,466.7,-24.474,0.030422,24.489,708.77,0.90609
125.4,454.47,-24.459,0.030425,24.474,707.64,0.90587
125.9,442.24,-24.442,0.033165,24.466,706.54,0.90565
126.4,430.03,-24.427,0.029719,24.443,705.48,0.90543
126.9,417.82,-24.412,0.029664,24.428,704.44,0.90522
127.4,405.61,-24.397,0.029637,24.413,703.41,0.905
127.9,393.42,-24.383,0.029582,24.397,702.37,0.90479
128.4,381.23,-24.368,0.029687,24.383,701.33,0.90458
128.9,369.05,-24.353,0.029732,24.368,700.29,0.90437
129.4,356.88,-24.338,0.029716,24.353,699.24,0.90416
129.9,344.71,-24.323,0.02964,24.338,698.2,0.90395
130.4,332.55,-24.308,0.029815,24.324,697.14,0.90374
130.9,320.4,-24.294,0.029439,24.308,696.08,0.90354
131.4,308.26,-24.278,0.030596,24.297,695.04,0.90333
131.9,296.13,-24.264,0.028851,24.279,694,0.90312
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=131.9 seconds
132.4,284,-24.249,0.028965,24.264,692.97,0.90291
132.41,283.84,-23.749,77.36,24.251,692.95,0.90291
132.41,283.68,-23.25,73.804,23.751,692.94,0.90291
132.42,283.52,-22.75,70.322,23.251,692.92,0.90291
132.43,283.35,-22.25,66.915,22.75,692.91,0.9029
132.43,283.18,-21.75,63.581,22.25,692.89,0.9029
132.44,283,-21.25,60.321,21.75,692.87,0.9029
132.45,282.82,-20.75,57.135,21.25,692.86,0.90289
132.46,282.63,-20.25,54.024,20.75,692.84,0.90289
132.47,282.43,-19.75,50.987,20.25,692.82,0.90289
132.48,282.23,-19.25,48.024,19.75,692.79,0.90288
132.49,282.02,-18.75,45.135,19.25,692.77,0.90288
132.5,281.8,-18.25,42.319,18.75,692.74,0.90288
132.52,281.57,-17.75,39.578,18.25,692.72,0.90287
132.53,281.33,-17.25,36.911,17.75,692.69,0.90287
132.54,281.09,-16.75,34.318,17.25,692.66,0.90287
132.56,280.83,-16.25,31.799,16.75,692.62,0.90286
132.58,280.55,-15.75,29.354,16.25,692.59,0.90286
132.6,280.27,-15.25,26.983,15.75,692.55,0.90285
132.62,279.96,-14.75,24.686,15.25,692.5,0.90285
132.64,279.64,-14.25,22.464,14.75,692.46,0.90284
132.66,279.3,-13.75,20.316,14.25,692.4,0.90283
132.69,278.93,-13.25,18.241,13.75,692.34,0.90283
132.72,278.53,-12.75,16.24,13.25,692.28,0.90282
132.76,278.09,-12.25,14.313,12.75,692.2,0.90281
132.8,277.61,-11.75,12.461,12.25,692.11,0.90281
132.84,277.07,-11.25,10.683,11.75,692.01,0.9028
132.9,276.46,-10.75,8.9785,11.25,691.89,0.90279
132.97,275.74,-10.25,7.3492,10.751,691.75,0.90277
133.05,274.88,-9.7506,5.7948,10.251,691.56,0.90276
133.17,273.78,-9.2513,4.314,9.7519,691.32,0.90274
133.34,272.24,-8.7544,2.9104,9.2543,690.97,0.90271
133.64,269.7,-8.2782,1.592,8.7631,690.38,0.90267
134.14,265.61,-8.0878,0.38096,8.2791,689.46,0.9026
134.64,261.55,-8.1242,-0.072881,8.0927,688.6,0.90254
135.14,257.49,-8.1129,0.022686,8.1324,687.72,0.90248
135.64,253.44,-8.1169,-0.0081841,8.1149,686.76,0.90242
136.14,249.38,-8.1137,0.0064211,8.1197,685.75,0.90236
136.64,245.32,-8.1127,0.0021478,8.1161,684.67,0.9023
137.14,241.27,-8.1113,0.0027008,8.1144,683.59,0.90223
137.64,237.21,-8.1106,0.0013685,8.1114,682.53,0.90216
138.14,233.16,-8.1085,0.0042955,8.1113,681.47,0.90209
138.64,229.1,-8.1062,0.0046145,8.1105,680.41,0.90202
139.14,225.05,-8.1058,7.7735e-4,8.1064,679.33,0.90195
139.64,221,-8.1041,0.0034227,8.1058,678.25,0.90188
140.14,216.94,-8.1024,0.0034317,8.1043,677.18,0.90181
140.64,212.89,-8.1006,0.0035284,8.1029,676.1,0.90174
141.14,208.84,-8.0982,0.0048361,8.1025,675.02,0.90167
141.64,204.8,-8.0966,0.0031526,8.1003,673.93,0.9016
142.14,200.75,-8.0961,0.0010089,8.097,672.89,0.90152
142.64,196.7,-8.0941,0.0038881,8.0967,671.87,0.90146
143.14,192.65,-8.0909,0.0064988,8.0976,670.9,0.90139
143.64,188.61,-8.0911,-3.5662e-4,8.092,669.95,0.90132
144.14,184.56,-8.0842,0.013816,8.1003,669.04,0.90126
144.64,180.52,-8.0873,-0.006258,8.0875,668.15,0.9012
145.14,176.48,-8.0867,0.0012846,8.0874,667.23,0.90114
145.64,172.44,-8.0774,0.018504,8.0991,666.25,0.90108
146.14,168.4,-8.0812,-0.007631,8.0836,665.25,0.90102
146.64,164.36,-8.082,-0.001492,8.0817,664.32,0.90095
147.14,160.32,-8.0796,0.0046495,8.0828,663.37,0.90089
147.64,156.28,-8.0774,0.0044097,8.0818,662.38,0.90083
148.14,152.24,-8.0733,0.0082791,8.084,661.41,0.90076
148.64,148.2,-8.0762,-0.0057138,8.0735,660.5,0.9007
149.14,144.16,-8.0721,0.0081289,8.0789,659.57,0.90064
149.64,140.13,-8.0727,-0.0011266,8.0721,658.61,0.90058
150.14,136.09,-8.0697,0.0059191,8.0742,657.62,0.90051
150.64,132.06,-8.069,0.0013287,8.0703,656.6,0.90045
151.14,128.02,-8.0672,0.0037243,8.0697,655.55,0.90039
151.64,123.99,-8.0661,0.002166,8.0672,654.49,0.90032
152.14,119.96,-8.0609,0.010346,8.0719,653.47,0.90025
152.64,115.93,-8.0623,-0.0027684,8.0631,652.47,0.90018
153.14,111.9,-8.0614,0.001733,8.0623,651.44,0.90012
153.64,107.87,-8.0594,0.0041105,8.062,650.43,0.90005
154.14,103.84,-8.0577,0.0033178,8.0603,649.45,0.89998
154.64,99.809,-8.0567,0.0020433,8.0578,648.49,0.89992
155.14,95.781,-8.0541,0.0052446,8.0583,647.57,0.89985
155.64,91.754,-8.0534,0.0012904,8.0544,646.65,0.89979
156.14,87.728,-8.0514,0.0039643,8.0539,645.71,0.89973
156.64,83.703,-8.0487,0.0055494,8.0539,644.73,0.89967
157.14,79.679,-8.0463,0.0047185,8.0527,643.68,0.89961
157.64,75.656,-8.0471,-0.0016582,8.0465,642.58,0.89954
158.14,71.633,-8.045,0.0042525,8.0472,641.48,0.89947
158.64,67.611,-8.0432,0.0035973,8.0455,640.4,0.8994
159.14,63.59,-8.0419,0.0026034,8.0432,639.33,0.89933
159.64,59.569,-8.0402,0.0034395,8.0419,638.26,0.89926
160.14,55.55,-8.0367,0.0069208,8.0432,637.17,0.89919
160.64,51.531,-8.0371,-7.7874e-4,8.0371,636.05,0.89912
161.14,47.514,-8.032,0.01019,8.0424,634.98,0.89905
161.64,43.498,-8.0343,-0.0046307,8.0321,633.96,0.89898
162.14,39.481,-8.0319,0.0049394,8.0343,632.95,0.89891
162.64,35.466,-8.0291,0.0056165,8.0341,631.91,0.89884
163.14,31.451,-8.029,4.6626e-5,8.0291,630.84,0.89878
163.64,27.439,-8.0216,0.01482,8.0379,629.83,0.89871
164.14,23.427,-8.0256,-0.0078672,8.0235,628.85,0.89864
164.64,19.414,-8.0239,0.0034146,8.0256,627.84,0.89857
165.14,15.403,-8.0216,0.0046041,8.025,626.82,0.89851
165.64,11.393,-8.0176,0.0079095,8.0268,625.82,0.89844
166.14,7.3845,-8.0176,8.9055e-5,8.0211,624.9,0.89838
166.64,3.3765,-8.0146,0.0058527,8.0226,623.98,0.89832
# Event GROUND_HIT occurred at t=167.14 seconds
# Event SIMULATION_END occurred at t=167.14 seconds
167.14,-0.63107,-8.0155,-0.0018135,8.016,623.03,0.89826
